sentence	start	end	text_name	words	chars
Aamun kaiken olen juossut.	101175	101201	lehtonen1910a	3	26
Aamun valkeneminen.	154673	154692	jarnefelt1913a	1	19
Äänet kuuluvat selvempinä.	612189	612215	lehtonen1910a	2	26
Ääni oli muuttunut huudoksi.	78256	78284	canth1886a	3	28
Ääni on Putkinotkon Käkriäisen.	789923	789954	lehtonen1910a	3	31
Aapeli alkaa olla jo pesty.	727041	727068	lehtonen1910a	4	27
Aapeli antoi ihmisveljelleen muka paremmat ehdot.	771575	771624	lehtonen1910a	5	49
Aapeli hirnahtelee vain.	753529	753553	lehtonen1910a	2	24
Aapeli istuu tyytyväisenä sokaisevassa savussa.	663488	663535	lehtonen1910a	4	47
Aapeli kääntelehtii, ähkää ja puhkaa.	702163	702200	lehtonen1910a	4	37
Aapeli kirjoittaa jotain.	758540	758565	lehtonen1910a	2	25
Aapeli kustantaa sokerit.	787935	787960	lehtonen1910a	2	25
Aapeli kuuluu siunailevan ja viheltävän.	752859	752899	lehtonen1910a	4	40
Aapeli kylpee vielä.	720105	720125	lehtonen1910a	2	20
Aapeli kysyy, että missä.	666463	666488	lehtonen1910a	3	25
Aapeli menee jo alas saunalle.	695885	695915	lehtonen1910a	4	30
Aapeli Muttinen näyttää hänelle lanttia.	630329	630369	lehtonen1910a	4	40
Aapeli Muttinen on ennättänyt kotoiseen asuun.	575696	575742	lehtonen1910a	5	46
Aapeli Muttinen tyytyi sinä kesänä siihen.	31227	31269	lehtonen1910a	5	42
Aapeli nauraa.	574730	574744	lehtonen1910a	1	14
Aapeli osti pallomaisen punaisen lyhdyn.	758891	758931	lehtonen1910a	4	40
Aapeli seisahtuu rannalle, katselee uimapaikkaa.	728552	728600	lehtonen1910a	4	48
Aapeli työntää kynän ja paperin tuonnemmaksi.	763299	763344	lehtonen1910a	5	45
Aapelin kamari on jo melkein valmis.	598341	598377	lehtonen1910a	5	36
Aapelista on pässi hiukan ilkeä.	685356	685388	lehtonen1910a	4	32
Aapoltakin pääsi itku.	112446	112468	pakkala1895a	2	22
Aavisti äidille kaikkein surullisinta ja katkerinta.	742416	742468	lehtonen1910a	5	52
Äh, äh.	381220	381227	lehtonen1910a	1	7
Äh, äh.	678688	678695	lehtonen1910a	1	7
Äh, öh.	380926	380933	lehtonen1910a	1	7
Ah, sinä pudistat päätäsi.	100809	100835	jarnefelt1913a	3	26
Ähä kutti, pelkäsivätpä sentään hänen miestään.	61119	61166	canth1886a	5	47
Aha, kammari makkama?	105523	105544	jarnefelt1913a	2	21
Ahaa, entäs nyt?	491998	492014	lehtonen1910a	2	16
Ähisi vain ja oli vihoissaan.	95278	95307	lassila1910a	4	29
Ahkerasti täytyi Aapon olla liikkeellä, anelemassa.	106093	106144	pakkala1895a	5	51
Ai, ai, kuinka se on vaikeata.	164666	164696	jarnefelt1916a	5	30
Ai, ai, makealtapa se ottaa.	717554	717582	lehtonen1910a	4	28
Aidan takana on karviaismarjapensaita, homeen hävittämiä.	584330	584387	lehtonen1910a	5	57
Aidan vieressä.	505270	505285	lehtonen1910a	1	15
Äidin silmiin vierähti kyyneliä.	119435	119467	pakkala1895a	3	32
Äidistä oli tuntunut ihan uskomattomalle.	26696	26737	pakkala1895a	4	41
Aika kuitenkin oli haihduttanut vähitellen halun.	29730	29779	pakkala1895a	5	49
Aika nykyinen.	89619	89633	jarnefelt1913a	1	14
Aikoo sitten uudestaan lauteille.	721047	721080	lehtonen1910a	3	33
Aina ahkeraa.	787421	787434	lehtonen1910a	1	13
Ainakin kolotiita ja korpinrasvaa.	32818	32852	lehtonen1910a	3	34
Ainoastaan kerran tai pari kesässä.	190161	190196	lehtonen1910a	4	35
Ainoastaan nuorimpia hän ajattelee ilolla.	325270	325312	lehtonen1910a	4	42
Ainoastaan osa järkälettä mahtuu syliin.	395397	395437	lehtonen1910a	4	40
Äiti ahdisti siihen.	680130	680150	lehtonen1910a	2	20
Äiti Elsan tullessa keitti jo riisryynipuuroa.	52309	52355	pakkala1895a	5	46
Äiti havahtuu.	148233	148247	jarnefelt1913a	1	14
Äiti itki.	72728	72738	pakkala1895a	1	10
Äiti katsoi Maria pitkään ja tutkivasti.	38355	38395	pakkala1895a	5	40
Äiti katsoi pitkistään Vappua.	61763	61793	pakkala1895a	3	30
Äiti kulkee ja kiertelee.	253563	253588	lehtonen1910a	3	25
Äiti meni häntä auttamaan, lapsi käsivarrella.	3063	3109	canth1886a	5	46
Äiti näyttää viimein vilkastuvan.	258063	258096	lehtonen1910a	3	33
Äiti nyökäytti päätään.	121317	121340	pakkala1895a	2	23
Äiti samassa otti vitsakimpun.	62054	62084	pakkala1895a	3	30
Äiti taittoi vitsat ja viskasi uuniin.	62301	62339	pakkala1895a	5	38
Äiti tanssii keskustassa.	147648	147673	jarnefelt1913a	2	25
Aivan entisensä näköinen.	185193	185218	jarnefelt1916a	2	25
Aivan kuin vuorikauris väriltään.	92157	92190	jarnefelt1916a	3	33
Aivan oikein.	101851	101864	jarnefelt1916a	1	13
Aivan se nosti rintaa.	24737	24759	lassila1910a	3	22
Aivan silminnähtävästi.	163482	163505	canth1886a	1	23
Aivan veden äyräällä.	3552	3573	lehtonen1910a	2	21
Aivankuin jossain tehtaassa.	272904	272932	jarnefelt1916a	2	28
Ajat hänet täältä pois?	767524	767547	lehtonen1910a	3	23
Ajatelkaa asemaani.	28562	28581	jarnefelt1913a	1	19
Ajatteli taas sitä nenästä huomauttamistaan.	99332	99376	lassila1910a	4	44
Ajatuksissani ja tunteissani nousi suuri sekamelska.	217292	217344	jarnefelt1916a	5	52
Ajettiin, ryypittiin.	53030	53051	lassila1910a	1	21
Ajoi takaa.	627639	627650	lehtonen1910a	1	11
Ajoi, lupitti.	52202	52216	lehtonen1910a	1	14
Äkäili hiukan.	69677	69691	lehtonen1910a	1	14
Äkäinen hän on, varsinkin tuolle neidille.	604970	605012	lehtonen1910a	5	42
Älä katso sitä ihan vielä.	767210	767236	lehtonen1910a	4	26
Älä luulekaan.	98710	98724	jarnefelt1913a	1	14
Älä usko minun vihoittelevan.	162825	162854	jarnefelt1916a	3	29
Alasti.	724265	724272	lehtonen1910a	0	7
Alaveräjän raosta pujahtaa Topi saunalle.	125696	125737	lehtonen1910a	4	41
Aletut uudet puuhat tuovat painavaa huolta.	756667	756710	lehtonen1910a	5	43
Alkaa kuulla takaansa Putkinotkosta Hurjan haukuntaa.	405025	405078	lehtonen1910a	5	53
Alkaa tosissaan.	178757	178773	lehtonen1910a	1	16
Alkakaa lentää metsään.	565671	565694	lehtonen1910a	2	23
Alkoi pimetä.	39766	39779	lassila1910a	1	13
Alkuunsa se puhe jäi.	242834	242855	lehtonen1910a	3	21
Alla piilee katkeruuden myrkky.	776698	776729	lehtonen1910a	3	31
Alma ei enää seurannut hänen askareitaan.	211241	211282	canth1886a	5	41
Alma ei silmiään haudasta nostanut.	219845	219880	canth1886a	4	35
Alma ei sitä kuullut.	238686	238707	canth1886a	3	21
Alma ei.	220170	220178	canth1886a	1	8
Alma el tullut vastanneeksi.	193387	193415	canth1886a	3	28
Alma el virkkanut mitään.	168730	168755	canth1886a	3	25
Alma heittäytyi pitkäkseen, niinkuin hän tahtoi.	225624	225672	canth1886a	5	48
Alma hieman punastui.	145775	145796	canth1886a	2	21
Alma hymyili hourupäisen hymyä.	225530	225561	canth1886a	3	31
Alma istui liikkumattomana kuin haamu.	217716	217754	canth1886a	4	38
Alma käänsi ilosta hehkuvat kasvonsa sinnepäin.	100816	100863	canth1886a	5	47
Alma katseli ympärilleen.	199377	199402	canth1886a	2	25
Alma kietoi kätensä hänen kaulansa ympäri.	117871	117913	canth1886a	5	42
Alma näki sen tällä kertaa mielellään.	154428	154466	canth1886a	5	38
Alma oli kuin huumeessa.	188590	188614	canth1886a	3	24
Alma oli siitä syvästi loukkaantunut.	126290	126327	canth1886a	4	37
Alma ompeli.	127642	127654	canth1886a	1	12
Alma osoitti kädellään tyynyä.	123347	123377	canth1886a	3	30
Alma painui takaisin sijalleen.	134991	135022	canth1886a	3	31
Alma punastui.	170302	170316	canth1886a	1	14
Alma reuhasi lakkaamatta vuoteellaan.	241505	241542	canth1886a	3	37
Alma seurasi häntä tottelevaisesti sisään.	153880	153922	canth1886a	4	42
Alma tunsi itsensä hyljätyksi, yksinäiseksi.	126620	126664	canth1886a	4	44
Alma viskasi työnsä pois.	131532	131557	canth1886a	3	25
Alma yhä jatkoi edelle.	100630	100653	canth1886a	3	23
Almaa hirvitti, peloitti ja hurmasi samalla.	203784	203828	canth1886a	5	44
Almalle pysähtyi veri poveen.	190750	190779	canth1886a	3	29
Alman hätääntyneet silmät kiintyivät häneen.	212762	212806	canth1886a	4	44
Alman katse ei niihin kiintynyt.	205789	205821	canth1886a	4	32
Alman sammuva katse etsi maata.	208017	208048	canth1886a	4	31
Ammentaa rupaista vettä rotakollasta.	232427	232464	lehtonen1910a	3	37
Ammuttava olisi nuo koirat.	39345	39372	lehtonen1910a	3	27
Ananiaksella on lammessakin muutamia verkkoja.	232341	232387	lehtonen1910a	4	46
Ananiaksella täytyy olla haulikko valmiina vieressä.	394484	394536	lehtonen1910a	5	52
Ananiakselle ja Lejalle ei jäänyt mitään.	435392	435433	lehtonen1910a	5	41
Ananiakselle oli isän hankittava.	128558	128591	lehtonen1910a	3	33
Ananiakselta on työ jäänyt.	229052	229079	lehtonen1910a	3	27
Ananiakselta vaipuu vasta penkille.	717189	717224	lehtonen1910a	3	35
Ananiaksen hahmo vilahtaa saunan ohitse.	756181	756221	lehtonen1910a	4	40
Ananiaksen kanssa oltiin sieltä ruumenia hakemassa.	673395	673446	lehtonen1910a	5	51
Ananiaksen kanssa pakinoimaan.	456933	456963	lehtonen1910a	2	30
Ananiaksesta tuntuu äitelältä.	462204	462234	lehtonen1910a	2	30
Ananias ehtii isänsä luokse.	527371	527399	lehtonen1910a	3	28
Ananias huokaisee.	634477	634495	lehtonen1910a	1	18
Ananias ja Kypenäinen näkyvät siellä soutavan.	658371	658417	lehtonen1910a	5	46
Ananias ja Maunokin nauravat.	752406	752435	lehtonen1910a	3	29
Ananias juttelee hiljaisesti Maunolle.	688301	688339	lehtonen1910a	3	38
Ananias katselee häntä takaa.	524140	524169	lehtonen1910a	3	29
Ananias kompuroi kivistöllä.	796139	796167	lehtonen1910a	2	28
Ananias lähtee saunasta.	720253	720277	lehtonen1910a	2	24
Ananias ne tietäisi.	175413	175433	lehtonen1910a	2	20
Ananias on mennyt miesten aittaan.	444111	444145	lehtonen1910a	4	34
Ananias osaa yhtä paljon kuin Saara.	135823	135859	lehtonen1910a	5	36
Ananias ottaa orrelta pyssynsä.	754896	754927	lehtonen1910a	3	31
Ananias perästä.	523453	523469	lehtonen1910a	1	16
Ananias raapaisee tulta ja katsoo.	754437	754471	lehtonen1910a	4	34
Ananias riisuu tamman.	634898	634920	lehtonen1910a	2	22
Ananias sanoo tulevansa ottamaan pyssynsä.	235184	235226	lehtonen1910a	4	42
Ananias seisoo naurahdellen hänen vieressään.	402197	402242	lehtonen1910a	4	45
Ananias tahtoo Topia kanssaan heittämään verkkoja.	647417	647467	lehtonen1910a	5	50
Ananias tempaa rahinjalat pois Topilta.	124695	124734	lehtonen1910a	4	39
Ananias tonkaisee rautakangella sieltä täältä.	799747	799793	lehtonen1910a	4	46
Ananias työntää hänelle ovenraosta kipan.	711091	711132	lehtonen1910a	4	41
Ananias vastaa myöntävästi.	524290	524317	lehtonen1910a	2	27
Ananiaskin yhtenä kesänä otti kiinni ukkometson.	173447	173495	lehtonen1910a	5	48
Ananiasko nyt pitikin ottaa?	155982	156010	lehtonen1910a	3	28
Ananiasta Lejan jutut kiusaavat.	461980	462012	lehtonen1910a	3	32
Ananiasta pyörryttää.	717303	717324	lehtonen1910a	1	21
Angervoista käy väkevä tuoksu.	583207	583237	lehtonen1910a	3	30
Ankarasti: Mine on sööny.	96703	96728	jarnefelt1913a	3	25
Anna huutaa.	101351	101363	lehtonen1910a	1	12
Anna Kaisa alkoi hääräillä kahvinkeittopuuhissa.	29011	29059	lassila1910a	4	48
Anna Kaisa näytti syventyvän työhönsä.	28199	28237	lassila1910a	4	38
Anna Liisa hätäytyi ja uudisti kysymyksensä.	198011	198055	lassila1910a	5	44
Anna Liisa itki pariin kertaan.	99090	99121	lassila1910a	4	31
Anna Liisalle paljastui Antin kataluus.	255136	255175	lassila1910a	4	39
Anna Liisan mieltä kaiveli surulliset asiat.	200914	200958	lassila1910a	5	44
Anna minulle anteeksi, olenhan sinun omasi.	134672	134715	canth1886a	5	43
Annetaan Juudaksen olla.	44148	44172	jarnefelt1913a	2	24
Anni kirkui, Petu tuuditti ja lauloi.	39023	39060	canth1886a	5	37
Antaa heille ne anteeksi, unohtaa.	290714	290748	lehtonen1910a	4	34
Antaa kaikki selvitä samalla.	224710	224739	canth1886a	3	29
Antaa kirjeen Tyynelle.	94625	94648	jarnefelt1913a	2	23
Antaa sen kehittyä luonnollisesti, vähitellen.	107490	107536	canth1886a	4	46
Antilla oli mainio ruokahalu.	31011	31040	lassila1910a	3	29
Antin päätä alkoi pahemmin pakottaa.	60880	60916	lassila1910a	4	36
Antin tuli yhä vaikeampi olla.	276963	276993	lassila1910a	4	30
Antinous ajattelee, käsi otsallansa.	34360	34396	kilpi1903a	3	36
Antinous ajattelee.	33941	33960	kilpi1903a	1	19
Antinous katsoo kuin jäykistyvänä ympärilleen.	96922	96968	kilpi1903a	4	46
Antinous käyskelee ja mielensä seestyy.	26140	26179	kilpi1903a	4	39
Antoi meillekin.	651784	651800	lehtonen1910a	1	16
Anton ja Tyyni kohauttavat toisilleen olkapäätä.	105196	105244	jarnefelt1913a	5	48
Anton Leander jää liikahtamatta paikoilleen.	115192	115236	jarnefelt1913a	4	44
Antta se ny olla viimene kertta.	100452	100484	jarnefelt1913a	5	32
Antti istui vielä hetken ja hikosi.	279350	279385	lassila1910a	5	35
Antti jouti nyt hautomaan ajatuksiansa.	51197	51236	lassila1910a	4	39
Antti näytti nukahtavan.	229485	229509	lassila1910a	2	24
Antti oli jo heittää koko yrityksen.	22540	22576	lassila1910a	5	36
Antti oli nyt hyvin miettivä.	275119	275148	lassila1910a	4	29
Antti totteli.	43737	43751	lassila1910a	1	14
Antti vain mulautti silmiänsä.	280740	280770	lassila1910a	3	30
Anttia painoi kuin suuri kivi.	276571	276601	lassila1910a	4	30
Aprikoimaan asian ihan selväksi.	98381	98413	lehtonen1910a	3	32
Apteekkari katsoo kattoon.	276532	276558	lehtonen1910a	2	26
Apteekkiin tulee taas lisää väkeä.	279175	279209	lehtonen1910a	4	34
Apulaiset ovat nyt huoneen takaosassa.	276787	276825	lehtonen1910a	4	38
Är du från dina sinnen?	101664	101687	jarnefelt1913a	4	23
Arvasinhan minä.	212045	212061	lehtonen1910a	1	16
Arveli, ettei John häntä ymmärtänyt.	117321	117357	canth1886a	4	36
Arvelihan se Antti osaavansa.	177711	177740	lassila1910a	3	29
Arvi hengitti huohottaen ja ruumis poltti.	208213	208255	canth1886a	5	42
Arvin jalat ja kädet olivat kylmät.	216921	216956	canth1886a	5	35
Arvokas lahja, joka oli riemastuttava äidin.	330	374	pakkala1895a	5	44
Asetun vaan mukavammin, kas näin.	146023	146056	jarnefelt1913a	4	33
Asia alkoi miellyttää.	261306	261328	lassila1910a	2	22
Asia näytti entisestäänkin yhä vain pahenevan.	141261	141307	lassila1910a	5	46
Asia näytti luistavan.	28018	28040	lassila1910a	2	22
Asia näytti rupeavan luistamaan itsestänsä.	17539	17582	lassila1910a	4	43
Asia näyttikin jo siihen unohtuvan.	9661	9696	lassila1910a	4	35
Asia oli sitä myöten selvä.	104632	104659	lassila1910a	4	27
Äskeinen rauhattomuus hänet valtasi jälleen.	187287	187331	canth1886a	4	44
Äskeisellä nuotilla laulaa hän uutta laulua.	70727	70771	lehtonen1910a	5	44
Äsken juuri viimeksi.	191193	191214	canth1886a	2	21
Astia oli täpösen täynnä mustanruskeita kahvinpapuja.	30424	30477	pakkala1895a	5	53
Astun lyhyin askelin, alleni tuijottaen.	126173	126213	jarnefelt1913a	4	40
Aterialla puheltiin talon myömisestä.	249470	249507	lassila1910a	3	37
Auringon kuva häikäisee vedestä.	181051	181083	lehtonen1910a	3	32
Auringonsäteet eivät koskaan pääse sinne syvyyksiin.	3342	3394	lehtonen1910a	5	52
Aurinko alenee punertavan pajupensaikon takana.	626272	626319	lehtonen1910a	4	47
Aurinko jo laskehti, oli illallisen aika.	132647	132688	canth1886a	5	41
Aurinko läikehtii lempeästi.	585084	585112	lehtonen1910a	2	28
Aurinko lämmittää vielä.	624851	624875	lehtonen1910a	2	24
Aurinko laskee.	650729	650744	lehtonen1910a	1	15
Aurinko oli silloin jo mennyt mailleen.	213152	213191	jarnefelt1916a	5	39
Aurinko paistaa sinne.	197970	197992	lehtonen1910a	2	22
Aurinko paistaa.	189922	189938	lehtonen1910a	1	16
Aurinko syleilee häntä valtoinaan.	2199	2233	jarnefelt1913a	3	34
Auttakaa, auttakaa minua, rukoilin minä lääkäriä.	25379	25428	jarnefelt1913a	5	49
Auttamaan pikku Esteriä.	544738	544762	lehtonen1910a	2	24
Avaa yhden kirjeistä.	94572	94593	jarnefelt1913a	2	21
